,,,,,,,,,,,,#REF!,#REF!,,#REF!,#REF!,,,
,Subcategory Ranking,CEFR ranking,Word ranking,Unique ID,Gender,Grammar,Level,Category,Sub Category,CEFR Level,English Word,Masculine,Feminine,No Gender,Pronunciation - Masculine,Pronunciation - Feminine,Pronunciation - No Gender,French Sentence,English Sentence
,1,1,1,00110001,One Gender,Noun,A1,People & Relationships,Family & Relatives,A1,Father,père,,,pehr,,,Le père mange une pomme.,The father eats an apple.
,1,1,2,00110002,One Gender,Noun,A1,People & Relationships,Family & Relatives,A1,Mother,,mère,,,mehr,,La mère lit un livre.,The mother reads a book.
,1,1,3,00110003,One Gender,Noun,A1,People & Relationships,Family & Relatives,A1,Dad / Daddy,papa,,,pa-pa,,,Mon papa est gentil.,My dad is kind.
,1,1,4,00110004,One Gender,noun,A1,People & Relationships,Family & Relatives,A1,Mom / Mama,,maman,,,mah-mahn,,Ma maman prépare un gâteau.,My mom is making a cake.
,1,1,5,00110005,One Gender,Noun,A1,People & Relationships,Family & Relatives,A1,Brother,frère,,,frehr,,,Le frère boit de l'eau.,The brother drinks water.
,1,1,6,00110006,One Gender,Noun,A1,People & Relationships,Family & Relatives,A1,Sister,,sœur,,,sir,,La sœur joue avec le chat.,The sister plays with the cat.
,1,1,7,00110007,One Gender,Noun,A1,People & Relationships,Family & Relatives,A1,Son,fils,,,fees,,,Le fils regarde la télé.,The son watches TV.
,1,1,8,00110008,One Gender,Noun,A1,People & Relationships,Family & Relatives,A1,Daughter,,fille,,,fee-yuh,,La fille aime le chocolat.,The daughter likes chocolate.
,1,1,9,00110009,One Gender,Noun,A1,People & Relationships,Family & Relatives,A1,Family,,famille,,,fah-mee,,Ma famille est grande.,My family is big.
,1,2,10,00120010,One Gender,Noun,A2,People & Relationships,Family & Relatives,A2,Kid / Child,gamin,,,ga-man,,,Ce gamin joue dans la rue.,That kid is playing in the street.
,1,2,11,00120011,One Gender,Noun,A2,People & Relationships,Family & Relatives,A2,Grandfather,grand-père,,,grahn pehr,,,Le grand-père dort.,The grandfather sleeps.
,1,2,12,00120012,One Gender,Noun,A2,People & Relationships,Family & Relatives,A2,Grandmother,,grand-mère,,,grahn mehr,,La grand-mère parle.,The grandmother speaks.
,1,2,13,00120013,One Gender,Noun,A2,People & Relationships,Family & Relatives,A2,Uncle,oncle,,,onkl,,,L’oncle chante une chanson.,The uncle sings a song.
,1,2,14,00120014,One Gender,Noun,A2,People & Relationships,Family & Relatives,A2,Aunt,,tante,,,tahnt,,La tante cuisine du riz.,The aunt cooks rice.
,1,3,15,00130015,One Gender,noun,B1,People & Relationships,Family & Relatives,B1,Husband,mari,,,mah-ree,,,Son mari travaille à Paris.,Her husband works in Paris.
,1,3,16,00130016,Both gender,Noun,B1,People & Relationships,Family & Relatives,B1,Spouse,conjoint,conjointe,,kon-zhwan,kon-zhwahnt,,Le conjoint travaille.,The spouse works.
,1,3,17,00130017,Both gender,Noun,B1,People & Relationships,Family & Relatives,B1,Cousin,cousin,cousine,,koo-zan,koo-zeen,,Le cousin court vite.,The cousin runs fast.
,1,3,18,00130018,One Gender,Noun,B1,People & Relationships,Family & Relatives,B1,Grandson,petit-fils,,,ptih fees,,,Le petit-fils chante.,The grandson sings.
,1,3,19,00130019,One Gender,Noun,B1,People & Relationships,Family & Relatives,B1,Granddaughter,,petite-fille,,,pt-eet fee-yuh,,La petite-fille danse.,The granddaughter dances.
,1,4,20,00140020,One Gender,Noun,B2,People & Relationships,Family & Relatives,B2,Nephew,neveu,,,nuh-vuh,,,Le neveu rit beaucoup.,The nephew laughs a lot.
,1,4,21,00140021,One Gender,Noun,B2,People & Relationships,Family & Relatives,B2,Niece,,nièce,,,nyess,,La nièce écrit une lettre.,The niece writes a letter.
,1,4,22,00140022,One Gender,Noun,B2,People & Relationships,Family & Relatives,B2,Father-In-Law,beau-père,,,boh pehr,,,Le beau-père lit le journal.,The father-in-law reads the newspaper.
,1,4,23,00140023,One Gender,Noun,B2,People & Relationships,Family & Relatives,B2,Mother-In-Law,,belle-mère,,,bel mehr,,La belle-mère marche.,The mother-in-law walks.
,1,4,24,00140024,One Gender,Noun,B2,People & Relationships,Family & Relatives,B2,Brother-In-Law,beau-frère,,,boh frehr,,,Le beau-frère écoute.,The brother-in-law listens.
,1,4,25,00140025,One Gender,Noun,B2,People & Relationships,Family & Relatives,B2,Sister-In-Law,,belle-sœur,,,bel sir,,La belle-sœur chante.,The sister-in-law sings.
,1,4,26,00140026,One Gender,Noun,B2,People & Relationships,Family & Relatives,B2,Son-In-Law,beau-fils,,,boh fees,,,Le gendre travaille.,The son-in-law works.
,1,4,27,00140027,One Gender,Noun,B2,People & Relationships,Family & Relatives,B2,Daughter-In-Law,,belle-fille,,,bel fee-yuh,,La belle-fille cuisine.,The daughter-in-law cooks.
,1,4,28,00140028,One Gender,Noun,B2,People & Relationships,Family & Relatives,B2,Stepfather,beau-père,,,boh pehr,,,Le beau-père parle fort.,The stepfather speaks loudly.
,1,4,29,00140029,One Gender,Noun,B2,People & Relationships,Family & Relatives,B2,Stepmother,,belle-mère,,,bel mehr,,La belle-mère dort.,The stepmother sleeps.
